EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5311390,MARIPOSA CO.,YOSEMITE VLG,07/11/2002,1400,Wildfire, , ,0,0,0,0,CA,PST, ,1139978,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,10,NNW,10,NNW,YOSEMITE VLG,07/31/2002,2359, , , , ,"The Wolf Fire was a lightning caused fire.  Inside Yosemite National Park it was managed as a resource burn through the remainder of July, through August, and had burned approximately 1150 acres through September 16th.  No structures were lost nor were there any injuries.","",1
5311298,MARIPOSA CO.,YOSEMITE VLG,07/24/2002,1200,Wildfire, , ,0,0,0,0,CA,PST, ,1139972,C,43,HNX,0,0,NEWSPAPER, , , ,2,ESE,2,ESE,YOSEMITE VLG,07/26/2002,1800, , , , ,"The Deltoid Fire burned an estimated 15 acres adjacent to Half Dome within Yosemite National Park. There were no injuries or damage reported from this apparently man-started fire.","",2
5316438,MARIPOSA CO.,YOSEMITE VLG,08/01/2002,0,Wildfire, , ,0,0,0,0,CA,PST, ,1143120,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,10,NNW,10,NNW,YOSEMITE VLG,08/31/2002,2359, , , , ,"The Wolf Fire was started on July 11th by lightning.  It was allowed to burn as a resource burn inside Yosemite National Park through the month of August reaching 1144 acres on September 16th. No structures or injuries occurred due to this fire.","",3
5316324,MARIPOSA CO.,YOSEMITE VLG,09/01/2002,0,Wildfire, , ,0,0,0,0,CA,PST, ,1143248,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,10,NNW,10,NNW,YOSEMITE VLG,09/30/2002,1800, , , , ,"The Wolf Fire, inside Yosemite National Park, was started on July 11th by lightning and was allowed to burn through the month of August. This resource burn totaled 1454 acres by September 30th (last date of request for spot forecast). No structures or injuries occurred due to this fire.","",4
5367226,MARIPOSA CO.,MARIPOSA,07/03/2003,1019,Wildfire, , ,0,0,810000,0,CA,PST, ,1156041,C,43,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , ,16,NW,16,NW,MARIPOSA,07/04/2003,1700, , , , ,"The Hunter Fire was fought by the California Division of Forestry and consumed 562 acres. The cause of the fire was unknown but no fatalities occurred nor were any structures lost.","",5
5367225,MARIPOSA CO.,EL PORTAL,07/08/2003,1455,Wildfire, , ,0,0,1280000,0,CA,PST, ,1156040,C,43,HNX,0,0,PARK/FOREST SERVICE, , , , , , , ,EL PORTAL,07/11/2003,500, , , , ,"The Woodlot Fire inside Yosemite National Park burned 458 acres. The cause is unknown but no structures or fatalities occurred.","",6
5372413,MARIPOSA CO.,YOSEMITE VLG,07/19/2003,1600,Wildfire, , ,0,0,0,0,CA,PST, ,1162967,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,2,N,2,N,YOSEMITE VLG,07/31/2003,2359, , , , ,"The Duncan Complex fire was one of a number of lightning initiated fires that was allowed to continue as a resource management fire through the end of the month within Yosemite National Park.","",7
5333725,MARIPOSA CO.,YOSEMITE VLG,07/20/2003,1600,Wildfire, , ,0,0,0,0,CA,PST, ,1161727,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,25,N,25,N,YOSEMITE VLG,07/31/2003,2359, , , , ,"The Kibbee Complex Fire was lightning started on July 20th approximately 18 miles northeast of Miwok Village in the NW corner of Yosemite National Park. The fire eventually was managed as a resource burn as it continued into the month of August. No injuries occurred and the cost of this fire was assessed at $20,000.","",8
5333726,MARIPOSA CO.,YOSEMITE VLG,08/01/2003,0,Wildfire, , ,0,0,20000,0,CA,PST, ,1161728,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,25,N,25,N,YOSEMITE VLG,08/31/2003,2359, , , , ,"The Kibbee Complex Fire was lightning started on July 20th approximately 18 miles northeast of Miwok Village in the NW corner of Yosemite National Park. The fire eventually was managed as a resource burn as it continued into the month of August. No injuries occurred and the cost of this fire was still assessed at $20K at the end of August. The total acreage of this fire was 651 acres at the end of the month.","",9
5372410,MARIPOSA CO.,YOSEMITE VLG,08/01/2003,0,Wildfire, , ,0,0,0,0,CA,PST, ,1162964,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,2,N,2,N,YOSEMITE VLG,08/31/2003,2359, , , , ,"The Duncan Complex continued to burn through the month as a resource burn within Yosemite National Park.","",10
5333038,MARIPOSA CO.,CATHEYS VLY,08/26/2003,700,Wildfire, , ,0,0,0,0,CA,PST, ,1161732,C,43,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,CATHEYS VLY,08/27/2003,1500, , , , ,"The Mariposa Lightning Series of fires were battled by the California Department of Forestry and Fire Protection starting on the 26th and contained by the afternoon of the 27th.  There were three notable locations in this series: a fire of 77 acres was located in Catheys Valley; another of 640 acres at the Mariposa-Madera County line 13 miles SSW of Catheys Valley; and yet another of 100 acres at Road 200 and Fine Gold Creek Bridge.  The cost to fight this series of fires was not reported but no fatalities occurred as the result.","",11
5337826,MARIPOSA CO.,YOSEMITE VLG,09/01/2003,0,Wildfire, , ,0,0,0,0,CA,PST, ,1162959,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,25,N,25,N,YOSEMITE VLG,09/30/2003,2359, , , , ,"The Kibbee Complex fire, having started July 20th by lightning, burned through the month of September as a resource burn. By the end of the month it had reached 9,230 acres and had an accumulated cost of $2M.","",12
5372409,MARIPOSA CO.,YOSEMITE VLG,09/01/2003,0,Wildfire, , ,0,0,0,0,CA,PST, ,1162963,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,2,N,2,N,YOSEMITE VLG,09/30/2003,2359, , , , ,"The Duncan Complex Fire was ignited by lightning in July, and allowed to continue to burn through September as a resource burn. By the end of September it had consumed 1284 acres at an accumulated cost of $100K.","",13
5336811,MARIPOSA CO.,YOSEMITE VLG,10/01/2003,0,Wildfire, , ,0,0,2900000,0,CA,PST, ,1162993,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,25,N,25,N,YOSEMITE VLG,10/02/2003,1600, , , , ,"The Kibbee Complex Fire was allowed to burn for resource management since its ignition on July 20th. It burned a total of 10,100 acres with a final assessed cost of $2.9M. Its location was described as 18 miles NE of Miwok Village in the northwest corner of Yosemite National Park. No fatalities occurred nor were any structures lost.","",14
5336815,MARIPOSA CO.,YOSEMITE VLG,10/01/2003,0,Wildfire, , ,0,0,100000,0,CA,PST, ,1162997,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,2,N,2,N,YOSEMITE VLG,10/03/2003,1600, , , , ,"The Duncan Fire was ignited by lightning on July 19th and then allowed to burn for resource management purposes into October. It consumed 1,284 acres by October 3rd at a cost of $100K. No fatalities or injuries were reported.","",15
5406284,S SIERRA FOOTHILLS (ZONE), ,06/16/2004,1341,Wildfire, , ,0,0,0,0,CA,PST, ,1172979,Z,93,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,06/19/2004,1700, , , , ,"The Source Fire in the Sierra National Forest 7 miles northeast of North Fork burned 385 acres and it cost $968K to battle. There were no injuries or structures lost.","",16
5406287,MARIPOSA CO.,YOSEMITE VLG,06/26/2004,2300,Wildfire, , ,0,0,0,0,CA,PST, ,1172982,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,4,SE,4,SE,YOSEMITE VLG,06/30/2004,2359, , , , ,"The Meadow Fire was lightning ignited in Yosemite National Park. There were no structures lost nor injuries. The cost to fight the fire was $2.0M with a total acreage consumed of 5060 acres by the 31st of July. The fire was allowed to burn until extinguished by winter precipitation to accomplish resource management objectives.","",17
5406285,S SIERRA FOOTHILLS (ZONE), ,06/27/2004,2300,Wildfire, , ,0,0,0,0,CA,PST, ,1172980,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,06/28/2004,331, , , , ,"The Rock fire located at Old Highway and White Rock Road in Catheys Valley in Mariposa County was of unknown origin and burned 100 acres in the early morning hours of the 28th. There were no injuries or structures lost. The cost to battle the fire was unreported.","",18
5405924,MARIPOSA CO.,YOSEMITE VLG,07/01/2004,0,Wildfire, , ,0,0,0,0,CA,PST, ,1173156,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,4,SE,4,SE,YOSEMITE VLG,07/31/2004,2359, , , , ,"See June 2004 Storm Data for Statistics on the Meadow Fire.","",19
5412094,S SIERRA MTNS (ZONE), ,08/01/2004,0,Wildfire, , ,0,0,0,0,CA,PST, ,1175959,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,08/26/2004,1700, , , , ,"","The Meadow Fire was lightning ignited in Yosemite National Park. See June 2004 Stormdata for details.",20
5412091,S SIERRA FOOTHILLS (ZONE), ,08/06/2004,1227,Wildfire, , ,0,0,0,0,CA,PST, ,1175956,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,08/07/2004,1700, , , , ,"The Masonic Fire occurred 1 mile southwest of Mariposa and reached 120 acres. The cause of ignition was unknown and no cost was assigned to the fire. There were no injuries or structures lost.","",21
5412093,S SIERRA FOOTHILLS (ZONE), ,08/14/2004,1239,Wildfire, , ,0,0,0,0,CA,PST, ,1175958,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,08/16/2004,700, , , , ,"The Guadalupe Fire burned 130 acres 2 mile NE of Catheys Valley in Mariposa County. The cause of ignition was unknown. The cost to fight the fire was $138K, but no structures were lost nor did injuries occur.","",22
5426013,S SIERRA FOOTHILLS (ZONE), ,09/03/2004,1200,Wildfire, , ,0,0,250000,0,CA,PST, ,1181619,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,09/04/2004,1700, , , , ,"The Bear Fire 5 miles south of Mariposa burned 416 acres and 5 structures (damage figure estimated). The cost to suppress this human origin fire was $1.4M. No fatalities or injuries occurred.","",23
5426011,S SIERRA FOOTHILLS (ZONE), ,09/08/2004,955,Wildfire, , ,0,0,0,0,CA,PST, ,1181617,Z,93,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,09/09/2004,500, , , , ,"The Trimmer Fire burned 125 acres 25 miles northeast of Fresno. The fire was human in origin. No fatalities, injuries, or structures-lost occurred. The cost to suppress was unknown.","",24
5426012,S SIERRA MTNS (ZONE), ,09/11/2004,1203,Wildfire, , ,0,0,0,0,CA,PST, ,1181618,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,09/13/2004,1700, , , , ,"The Nehouse Fire burned 204 acres 25 miles east of North Fork in Madera County. Its cause was human in origin but no fatalities, injuries, or structures-lost occurred. The cost to suppress was unknown.","",25
5426009,S SIERRA FOOTHILLS (ZONE), ,09/12/2004,1451,Wildfire, , ,0,0,0,0,CA,PST, ,1181615,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,09/15/2004,700, , , , ,"The Old Highway Fire was a man-caused fire that burned 1347 acres in the S.Sierra Nevada Foothills at Mariposa. There were no fatalities, injuries, or structures lost. The cost to suppress the fire was $3M.","",26
5466624,S SIERRA MTNS (ZONE), ,07/22/2005,1200,Wildfire, , ,0,0,0,0,CA,PST, ,1195970,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,07/31/2005,2359, , , , ,"The Comb Fire was lightning initiated but allowed to burn as a resource fire 18 miles northeast of Grant Grove in Fresno County. It consumed 1193 acres by the end of July but no injuries occurred nor were any structures lost. The cost to battle and manage the fire reached 105.1K by the end of July.","",27
5466625,S SIERRA FOOTHILLS (ZONE), ,07/25/2005,1106,Wildfire, , ,0,0,0,0,CA,PST, ,1195971,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,07/27/2005,1600, , , , ,"The Quartz Fire was a human caused fire 2 miles east of Coarsegold in Madera County. It burned 550 acres but no injuries occurred or structures lost. The cost to battle the fire was $1.1M.","",28
5469636,S SIERRA MTNS (ZONE), ,08/01/2005,0,Wildfire, , ,0,0,0,0,CA,PST, ,1197221,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,08/31/2005,2359, , , , ,"The Comb Fire was lightning initiated on July 22nd but allowed to burn as a resource fire 18 miles northeast of Grant Grove in Fresno County. It jumped from 1093 acres at the end of July to 7055 acres by the end of August.  No injuries occurred nor were any structures lost. The cost to battle and manage the fire reached $1.3M by the end of August.","",29
5469640,S SIERRA MTNS (ZONE), ,08/14/2005,2100,Wildfire, , ,0,0,0,0,CA,PST, ,1197225,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,08/31/2005,2359, , , , ,"The Corral Fire was lightning started on the 14th in the high Sierra Nevada 11 miles southeast of Mammoth Lakes in Madera County. The fire was allowed to burn unmanaged through August.","",30
5469637,E CENTRAL S.J. VALLEY (ZONE), ,08/21/2005,1550,Wildfire, , ,0,0,0,0,CA,PST, ,1197222,Z,90,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,08/21/2005,1712, , , , ,"The "33" Fire of undetermined origin burned 400 acres 7.6 miles northeast of Madera on the 21st. The cost to fight the fire was unknown but no structures were lost nor injuries occurred.","",31
5475526,S SIERRA MTNS (ZONE), ,09/01/2005,0,Wildfire, , ,0,0,0,0,CA,PST, ,1198467,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,09/11/2005,1700, , , , ,"The Comb Fire was lightning initiated on July 22nd but allowed to burn as a resource fire 18 miles northeast of Grant Grove in Fresno County. At last report on September 11th, it had burned 9418 acres with no injuries or structures lost.","",32
5475528,S SIERRA MTNS (ZONE), ,09/01/2005,0,Wildfire, , ,0,0,0,0,CA,PST, ,1198469,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,09/09/2005,1700, , , , ,"The Corral Fire was lightning started on the 14th of August in the high Sierra Nevada 11 miles southeast of Mammoth Lakes in Madera County. The fire was initially allowed to burn unmanaged through August and became actively managed in early September. The fire burned approximately 195 acres with no injuries or structures lost with the last report on September 9th.","",33
5475531,S SIERRA FOOTHILLS (ZONE), ,09/20/2005,1626,Wildfire, , ,0,0,0,0,CA,PST, ,1198472,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,09/21/2005,700, , , , ,"The La Paloma Fire was lightning initiated during the early evening of the 20th. It burned 700 acres near Hornitos or about 17 miles west of Mariposa in the Southern Sierra Nevada foothills. There were no injuries nor structures lost from the fire.","",34
5479181,S SIERRA MTNS (ZONE), ,10/01/2005,900,Wildfire, , ,0,0,0,0,CA,PST, ,1199839,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,10/25/2005,1500, , , , ,"The Wapama Complex Fire in Yosemite National Park was initially a deemed a prescribed burn initiated around September 20th by lightning but a later request on October 1st re-assigned the burn as a wildfire. The fire's location was 20 miles northwest of Yosemite Village and burned 1014 acres at a cost of $280K to battle the blaze. No injuries occurred nor were structures lost.","",35
5513894,S SIERRA FOOTHILLS (ZONE), ,06/04/2006,1500,Wildfire, , ,0,0,0,0,CA,PST, ,1213249,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,06/05/2006,1700, , , , ,"The Auberry Fire 9 miles north of Clovis in the Fresno County portion of the Southern Sierra Foothills was of unknown origin and burned approximately 400 acres before being contained. There were no injuries nor were there any structures lost. The cost to battle the fire was $500K.","",36
5523468,S SIERRA MTNS (ZONE), ,07/19/2006,905,Wildfire, , ,0,0,0,0,CA,PST, ,1216465,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,07/31/2006,2359, , , , ,"The King Fire located 2 miles northeast of Mr. Starr King in Yosemite National Park was lightning initiated on the 19th of July. The fire became managed as a resource burn.","",37
5523469,S SIERRA MTNS (ZONE), ,07/20/2006,1500,Wildfire, , ,0,0,0,0,CA,PST, ,1216466,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,07/31/2006,2359, , , , ,"The Middle-T Fire was a lightning initiated fire 10 miles northwest of Yosemite Village that burned 451 acres. The fire was initially battled but became a resource management burn into August.","",38
5517628,S SIERRA MTNS (ZONE), ,07/21/2006,1500,Wildfire, , ,0,0,0,0,CA,PST, ,1214598,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,07/29/2006,2359, , , , ,"The Frog Complex Fire in Yosemite National Park located 1 mile west of Laurel Lake was a lightning caused fire that burned 112 acres by the 29th of the month. The cost to fight the fire initially was not known but there were no injuries fighting the fire nor were any structures lost. The fire was allowed to burn well into August for resource management purposes.","",39
5525633,S SIERRA MTNS (ZONE), ,07/21/2006,1538,Wildfire, , ,0,0,0,0,CA,PST, ,1218176,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,07/31/2006,2359, , , , ,"The Burnt Fire was lightning initiated late in the afternoon of the 21st of July about 8 miles north of Cedar Grove in the Fresno County portion of the Southern Sierra Nevada. The fire was immediately allowed to burn as a resource management fire and continued through September. The total acreage burned was only 627 acres by the end of September.","",40
5523470,S SIERRA MTNS (ZONE), ,07/22/2006,1700,Wildfire, , ,0,0,0,0,CA,PST, ,1216467,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,07/31/2006,2359, , , , ,"The Roaring Fire was lightning initiated on the 22nd and located one mile south of Cedar Grove in Kings Canyon National Park. The fire became a resource management burn into August.","",41
5517630,S SIERRA FOOTHILLS (ZONE), ,07/23/2006,1830,Wildfire, , ,0,0,0,0,CA,PST, ,1214600,Z,93,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,07/25/2006,1700, , , , ,"The Auberry Complex Fire was a human caused fire that burned 300 acres near Auberry in the S.Sierra Foothills of Fresno County. The cost to fight the fire was unknown but no injuries occurred nor were any structures lost.","",42
5525783,S SIERRA MTNS (ZONE), ,08/01/2006,0,Wildfire, , ,0,0,0,0,CA,PST, ,1217951,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,08/31/2006,2359, , , , ,"The Frog Complex Fire was a lightning initiated fire on July 21st but became a resource management fire. The fire was located 1 mile West of Laurel Lake or 19 miles northwest of Yosemite Village. The fire continued through August and September and burned 5,578 acres by October 2nd and at a cost of $850,033.","",43
5525787,S SIERRA MTNS (ZONE), ,08/01/2006,0,Wildfire, , ,0,0,0,0,CA,PST, ,1217955,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,08/31/2006,2359, , , , ,"The Roaring Fire was lightning initiated on July 22nd and located one mile south of Cedar Grove in Kings Canyon National Park. The fire became a resource management burn through August and burned 1525 acres by the end of September. No structures were lost nor were there any injuries. The cost to battle the fire was not known.","",44
5525786,S SIERRA MTNS (ZONE), ,08/01/2006,0,Wildfire, , ,0,0,0,0,CA,PST, ,1217954,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,08/31/2006,2359, , , , ,"The Middle-T Fire was a lightning initiated fire on July 20th located 10 miles northwest of Yosemite Village. The fire was initially battled but became a resource management burn over 451 acres that had cost $1.1 million to battle through August 27th. There were no structures lost nor were there any injuries.","",45
5525784,S SIERRA MTNS (ZONE), ,08/01/2006,0,Wildfire, , ,0,0,0,0,CA,PST, ,1217952,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,08/31/2006,2359, , , , ,"The King Fire located 2 miles northeast of Mr. Starr King in Yosemite National Park was lightning initiated on July 19th and was maintained as a resource burn through August. The fire burned 157 acres through September as a resource burn with a cost to manage assessed at $23,000 by the end of August.","",46
5525785,S SIERRA MTNS (ZONE), ,08/21/2006,1400,Wildfire, , ,0,0,0,0,CA,PST, ,1217953,Z,96,HNX,0,0,PARK/FOREST SERVICE, , , , , , , , ,08/27/2006,1700, , , , ,"The Boundary Fire located 1.5 miles northwest of El Capitan near Yosemite Village was a human caused fire that burned 536 acres. The fire cost $2.1 million to fight but no structures were lost nor did any casualties occur.","",47
5524994,E CENTRAL S.J. VALLEY (ZONE), ,09/15/2006,1842,Wildfire, , ,0,0,0,0,CA,PST, ,1218023,Z,90,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,09/15/2006,2300, , , , ,"The Moore Fire began in the early evening of the 15th of unknown origin. Response was made to this brief grass fire but no other information was reported.","",48
59194,E CENTRAL S.J. VALLEY (ZONE), ,08/10/2007,1634,Wildfire, , ,0,0,0,0,CA,PST-8, ,10629,Z,90,HNX,0,0,Park/Forest Service, , , , , , , , ,08/16/2007,1700, , , , ,"","Dry conditions combined with hot temperatures and gusty winds generated several wildfires across south-central California during August. ||The Tar fire in Fresno County was started by humans on the 10th, and was contained on the 16th.  The size was 5644 acres, and was located 9 miles southwest of Avenal.  No injuries were reported due to this fire.",49
67790,S SIERRA MTNS (ZONE), ,11/01/2007,0,Wildfire, , ,0,0,0,0,CA,PST-8, ,12331,Z,96,HNX,0,0,Park/Forest Service, , , , , , , , ,11/30/2007,2359, , , , ,"","The Jack wildfire occurred in Yosemite National Park.  The ignition date was October 29, 2007, at about 1500 PDT.  The cause of the wildfire was lightning.  The location was 05 miles north of Wawona.  The size was 1108 acres and it was estimated to be contained on December 15, 2007.  There were no fatalities or injuries and cost estimates are unavailable at this time.",50
121172,S SIERRA MTNS (ZONE), ,06/11/2008,0,Wildfire, , ,0,0,0,0,CA,PST-8, ,20342,Z,96,HNX,0,0,Park/Forest Service, , , , , , , , ,06/30/2008,0, , , , ,"","June saw the fourth consecutive month of below-normal rainfall in the central California interior, as neither Fresno nor Bakersfield had any rain. While dry Junes are not uncommon (this was Bakersfield���s 72nd dry June, and Fresno���s 50th), the prospect of a dry June coming on the heels of the driest March-May on record for Bakersfield, and the 4th driest for Fresno, was a factor in Governor Schwarzenegger declaring a drought for the state on June 4th. In addition to the agricultural and hydrological impacts of the dry weather, the fire danger due to dried brush and other vegetation was high, and thunderstorms that moved through the state during the latter half of the month triggered numerous wildfires.||Bakersfield ended the 2007-2008 rain season (which runs from July 1st to June 30th) with a season total of only 2.38 inches, or 36.7 % of the normal of 6.49 inches. The past season was the 2nd driest on record, surpassed only by the 1933-34 season which saw only 2.21 inches. Fresno fared much better, due to an unseasonably wet December through February, but the rains ended abruptly in late February and the season ended with 8.40 inches. This was 74.8 % of Fresno���s normal of 11.23 inches.||Wildfire 41, CalFire, Merced-Madera-Mariposa Unit, ignited on June 11 due to unknown causes. The location was Highway 41 at Highway 145, approx. 15 miles east-northeast of Madera in Madera County. The size was 15,262 acres. No fatalities or lost structures. The cost to contain the fire was $6,500,000.",51
